,zpid,latestPrice,numOfBathrooms,livingAreaSqFt,numOfBedrooms,avgSchoolRating,numOfStories,MedianStudentsPerTeacher,numOfHighSchools,longitude,numOfPrimarySchools,zipcode,propertyTaxRate,latest_saledate,latest_salemonth,latest_saleyear
182,29362475,735000.0,3.0,3119.0,4,7.0,2,17,1,-97.79894256591795,1,78750,1.98,2019-03-08,3,2019
183,185217426,429900.0,2.0,2191.0,3,8.333333333333334,1,16,1,-97.7973403930664,1,78717,2.21,2020-11-05,11,2020
184,124843021,4100000.0,10.0,9866.0,6,8.333333333333334,2,17,1,-97.9269790649414,1,78732,1.98,2020-12-23,12,2020
185,64533962,66900.0,2.0,1160.0,3,3.6666666666666665,1,11,2,-97.64751434326172,1,78724,1.98,2018-07-31,7,2018
186,249710345,385000.0,3.0,2420.0,4,3.6666666666666665,2,12,1,-97.71443939208984,1,78744,1.98,2020-06-15,6,2020
187,29459881,195000.0,3.0,2094.0,4,3.0,2,13,1,-97.58512115478516,1,78725,1.98,2018-09-06,9,2018
188,83814445,1225000.0,5.0,5027.0,4,7.0,2,16,1,-97.85681915283205,1,78726,1.98,2020-01-17,1,2020
189,89552136,194900.0,2.0,1096.0,3,3.0,1,13,1,-97.63653564453124,1,78725,1.98,2019-01-25,1,2019
190,124154926,459990.0,3.0,2425.0,3,7.666666666666668,1,14,1,-97.78875732421876,1,78717,2.21,2020-11-20,11,2020
191,29396959,229900.0,2.0,1320.0,3,3.6666666666666665,1,11,2,-97.64627838134766,1,78724,1.98,2019-04-05,4,2019
192,2087686692,289000.0,2.0,1780.0,4,3.0,1,14,1,-97.64022064208984,0,78660,1.98,2020-06-03,6,2020
193,89545951,5474997.0,8.0,7740.0,6,8.333333333333334,2,17,1,-97.91260528564452,1,78732,1.98,2019-12-30,12,2019
194,29353975,1150000.0,5.0,4878.0,5,7.0,2,16,1,-97.83583068847656,1,78730,1.98,2019-02-01,2,2019
195,29373963,609900.0,3.0,2873.0,4,8.666666666666666,2,16,1,-97.78872680664062,0,78750,1.98,2019-10-25,10,2019
196,79981880,230000.0,2.0,1652.0,3,3.0,1,13,1,-97.5785903930664,1,78725,1.98,2019-12-02,12,2019
197,251035839,439000.0,3.0,2501.0,4,3.6666666666666665,1,12,1,-97.71968841552734,1,78744,1.98,2020-08-03,8,2020
198,96636926,375000.0,2.0,2406.0,3,6.0,1,14,1,-97.78795623779295,1,78729,2.21,2018-04-18,4,2018
199,29396958,225000.0,2.0,1306.0,3,3.6666666666666665,1,11,2,-97.64612579345705,1,78724,1.98,2020-06-10,6,2020
200,83820449,769000.0,4.0,4362.0,4,8.666666666666666,2,17,1,-97.90799713134766,1,78732,1.98,2018-02-28,2,2018
